"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE2007","Yemen","YE","YE20","Dhamar","Wusab As Safil",875,938,140,400,120,140,750,3500,1260,2800,1500,11025,16585
"YE2113","Yemen","YE","YE21","Shabwah","Ataq",360,365,100,100,100,120,500,960,1050,2400,1000,3024,7474
"YE2114","Yemen","YE","YE21","Shabwah","Habban",350,350,100,100,140,120,500,3000,1470,2400,1000,9450,14320
"YE2203","Yemen","YE","YE22","Sa'ada","Monabbih",400,400,150,NA,170,150,700,500,1785,3000,1400,1575,7760
"YE2204","Yemen","YE","YE22","Sa'ada","Ghamr",490,400,200,NA,100,190,700,1200,1050,3800,1400,3780,10030
"YE2205","Yemen","YE","YE22","Sa'ada","Razih",480,400,100,NA,150,180,750,1000,1575,3600,1500,3150,9825
"YE2209","Yemen","YE","YE22","Sa'ada","Saqayn",650,600,140,100,100,150,570,3500,1050,3000,1140,11025,16215
"YE2301","Yemen","YE","YE23","Sana'a","Hamdan",365,430,100,60,150,100,500,950,1575,2000,1000,2992.5,7567.5
"YE2302","Yemen","YE","YE23","Sana'a","Arhab",365,430,100,70,150,100,500,1400,1575,2000,1000,4410,8985
"YE2303","Yemen","YE","YE23","Sana'a","Nihm",NA,450,100,NA,150,110,500,1500,1575,2200,1000,4725,9500
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",365,430,100,70,150,100,500,1125,1575,2000,1000,3543.75,8118.75
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",850,750,120,100,120,150,600,4500,1260,3000,1200,14175,19635
"YE2307","Yemen","YE","YE23","Sana'a","Bani Matar",700,600,130,100,100,150,580,4200,1050,3000,1160,13230,18440
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",365,430,100,NA,150,100,500,2000,1575,2000,1000,6300,10875
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",315,365,150,175,150,100,600,3250,1575,2000,1200,10237.5,15012.5
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",315,NA,125,100,120,75,425,5000,1260,1500,850,15750,19360
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",NA,350,150,NA,150,150,500,1500,1575,3000,1000,4725,10300
"YE2515","Yemen","YE","YE25","Lahj","Tuban",315,370,150,130,95,100,550,500,997.5,2000,1100,1575,5672.5
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",365,430,110,450,150,109,833,1200,1575,2180,1666,3780,9201
"YE2915","Yemen","YE","YE29","Amran","Amran",365,430,110,300,150,91,791.5,900,1575,1820,1583,2835,7813
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",235,235,130,NA,150,130,650,800,1575,2600,1300,2520,7995
